id|page|key|id_desc|en_desc
1|home|link-about|Tentang|About
2|home|link-login|Masuk|Log In
3|home|link-list-your-property|Iklankan properti Anda|List your property
4|home|link-discover|Jelajahi|Discover
5|home|link-logout|Keluar|Log Out
6|home|link-myprofile|Profil|My Profile
7|home|placeholder-search|Masukkan lokasi, nama properti, perusahaan, atau pendidikan|Enter location, property name, company or education ...
8|home|label-recent-search|Pencarian terbaru|Recent searches
9|home|label-property-recommend|Properti Rekomendasi Kami|Properties Recommended By Us
10|home|label-see-more|Lihat Lainnya|See More
11|home|label-we-provide|Apa Yang Kami Sediakan|What We Provide
12|home|label-we-provide-1-title|Pembayaran bulanan|Monthly payments
13|home|label-we-provide-1-content|Bayar sesuai pemakaian|Pay as you go
14|home|label-we-provide-2-title|Fleksibilitas|Flexibility
15|home|label-we-provide-2-content|Pilih pembayaran dan durasi sewa Anda sesuai keinginan Anda|Choose your payment and staying terms Rent the way you want
16|home|label-we-provide-3-title|Lokasi yang Anda inginkan|Preferred locations
17|home|label-we-provide-3-content|Gunakan fitur perjalanan kami agar Anda tetap dekat dengan tempat kerja Anda|Use our commute feature to be close to your activity hubs
18|home|label-we-provide-3-1-content|Gunakan|Use our
19|home|label-we-provide-3-2-content|fitur perjalanan|commute feature
20|home|label-we-provide-3-3-content|untuk tetap dekat dengan tempat aktivitas|to be close to your activity hubs.
21|home|label-we-provide-4-title|Bisa dijadikan hunian bersama|Co-living compatibility
22|home|label-we-provide-4-content|Kami mencocokkan Anda dengan orang yang sepemikiran dengan Anda|We match you with like minded housemates
23|home|label-we-provice-5-title|Santai|Peace of mind
24|home|label-we-provide-5-content|Dashboard lengkap dipadukan dengan layanan pelanggan untuk pengalaman menyewa yang menyenangkan|Unified dashboard paired with customer support for a seamless renting experience
25|home|label-about-us|Tentang Sewagi|What is Sewagi
26|home|p-about-us-1|SEWAGI memungkinkan Anda menyewa properti sesuai keinginan Anda & iklankan properti Anda secara gratis|SEWAGI lets you rent on your terms & list your property for free
27|home|p-about-us-2|Marketplace kami memberikan fleksibilitas dalam menyewa, kedekatan, dan dapat menyewa bersama-sama|Our marketplace provides you with rental flexibility, proximity & shareability
28|home|p-about-us-3|Lebih cepat, unggul, dan aman dalam menyewakan properti Anda|While giving your property the edge in leasing out faster & safe
29|home|label-how-sewagi-1|Bagaimana Sewagi membantu Anda sebagai|How Sewagi Helps You as a
30|home|label-how-sewagi-2|Penyewa|Renter
31|home|label-how-sewagi-3|Penyewa rumah|Co-Living Renter
32|home|label-how-sewagi-4|Pemilik Properti|Property Lister
33|home|label-how-sewagi-2-1-title|Cari dan simpan daftar katalog yang Anda suka|Find and collect the listings you like
34|home|label-how-sewagi-2-1-content|Jelajahi katalog kami dan atur pencarian untuk mendapatkan penawaran terbaik|Check out our listing and refine your filters to get the best match
35|home|label-how-sewagi-2-2-title|Jadwalkan kunjungan|Schedule for a room tour
36|home|label-how-sewagi-2-2-content|Lihat dan kenali dulu calon tempat tinggal Anda. Tidak ada ikatan|Have a closer look at your future home. No strings attached
37|home|label-how-sewagi-2-2-1-content|Kapanpun Anda melihat logo ini di atas iklan kami, Anda dapat menjadwalkan|Whenever you see this logo on our listing, you may schedule a
38|home|label-how-sewagi-2-2-2-content|kunjungan virtual langsung|Live Virtual Tour
39|home|label-how-sewagi-2-2-3-content|dan bertemu dengan kawan seruangan yang potensial|and meet with your potential roommates
